key,name,tag,level,frequence,mode,first,month,period,description,arg1,op1,value1,arg2,op2,value2,out
55,同学聚会,relationship,basic,12,normal,600,0,0,你请多年不见的几个大学同学吃饭,,,,,,,
56,相亲,relationship,basic,36,normal,400,0,0,老娘介绍了个女孩子，实在推脱不掉，只好去见面，又看电影又吃饭，钱一下就花了。人又不中意，钱一下就白花了。,pay_kid, =,0,,,,
57,买笔记本,shopping,basic,24,credit_card,5000,0,0,买中硕笔记本，性价比超高。既好看又实用,cash,,,,,,
58,买笔记本,shopping,basic,24,credit_card,7000,0,0,买联思笔记本，黑色很有质感。,cash,,,,,,
59,买笔记本,shopping,basic,24,credit_card,9000,0,0,买MacBookPro港版，买了就买了，啥也不说了,cash,>,10000,,,,
60,买平板电脑,shopping,basic,24,credit_card,2000,0,0,你买了个电子书,,,,,,,
61,买平板电脑,shopping,dispensable,24,credit_card,4000,0,0,你买了mini平板电脑，就是屏幕小一点，也够用了，携带也方便,,,,,,,
62,买平板电脑,shopping,luxury,24,credit_card,7000,0,0,你购买了微软的平板电脑Surface,cash,>,10000,,,,
63,买奢侈品,shopping,luxury,12,credit_card,8000,0,0,路上路过奢侈品店，看到奢侈品，忍不住了，购买了送老婆/老公,,,,,,,
64,买手机,shopping,basic,24,normal,3000,0,0,看上了一款国产高端手机CTH,,,,,,,
65,买手机,shopping,dispensable,24,normal,5000,0,0,买苹果ibanana5,,,,,,,
66,买手机,shopping,luxury,24,normal,6000,0,0,看电视购物，买了个集打电话，发短信，照相，摄像，MP3，MP4为一体的超级手机。,cash,>,10000,,,,
67,买新衬衫,shopping,basic,12,normal,500,0,0,逛商店，突然购买了新衬衫,,,,,,,
68,网上购物,shopping,basic,12,normal,3500,0,0,你不知不觉网上购物，一看，怎么开销那么多，排名到90%了，要剁手,,,,,,,
69,运动受伤,sport,basic,12,normal,5000,0,0,你打羽毛球学林丹跳，结果肌肉拉伤,,,,,,,
70,运动受伤,sport,basic,12,normal,8000,0,0,你跑步受伤，医生建议你使用医保范围外的物品，医生说得非常吓人，你被吓到了，只有接受,,,,,,,
71,超速,traffic,basic,12,normal,200,0,0,下高架一不小心超速了，防不胜防啊,pay_car,>,0,,,,
72,闯红灯,traffic,basic,24,normal,1400,0,0,新交通法实行了，开车不注意闯了红灯，被监控摄像头拍到了，结果罚款，被扣分，被扣的人需要用钱买，所以哭吧,pay_car,>,0,,,,
73,多次超速,traffic,dispensable,180,normal,1200,0,0,赞了一年的罚单终究还是跑不掉。,pay_car,>,0,,,,
74,酒驾,traffic,luxury,360,normal,1400,0,0,在晚宴上经不住朋友劝酒，又抱有侥幸心理，多喝了一杯，差一点出事，结果被警察叔叔给抓了。喝酒不开车，开车不喝酒啊。,pay_car,>,0,,,,
75,买自行车,traffic,basic,60,normal,1000,0,0,孩子看上一个质量不错的美利达勇士自行车,,,,,,,
76,买自行车,traffic,dispensable,60,normal,5000,0,0,自己装了一辆车，擦了又擦，结果磕掉一块漆，心痛啊,,,,,,,
77,买自行车,traffic,luxury,60,normal,10000,0,0,发烧买了一个Terk自行车，,cash,>,10000,,,,
78,汽车被砸,traffic,luxury,360,normal,5000,0,0,天朝发生反日运动，你的日系车被砸，需要修车，保险公司不陪这笔损失,pay_car,>,0,,,,
79,违章停车,traffic,basic,12,normal,200,0,0,在路边违章停车，挨罚单,pay_car,>,0,,,,
80,修风玻璃,traffic,basic,36,normal,1000,0,0,老婆突然发现挡风玻璃裂了，又怪我没买玻璃纤维，把我臭骂了一顿，还不给报修车钱，从零花钱里扣。三个月的零花钱没了，555...,pay_car,>,0,,,,
81,撞车私了,traffic,basic,24,normal,500,0,0,你开车撞了其他车，你不想那么麻烦，私了吧,pay_car,>,0,,,,
82,出国旅游,travel,dispensable,12,normal,8000,0,0,最近流行潜水，便到M国的仙本那考了个PADI的OW证。看到好多稀奇古怪的东西。诗巴丹真是潜水胜地啊，看到好多鲨鱼，还差点被洋流给卷走。,cash,>,10000,,,,
83,出国旅游,travel,luxury,12,normal,30000,0,0,下血本，带全家到B国看世界杯，荷兰队一定要夺冠啊。,step,>,48,,,,
84,出国旅游,travel,luxury,12,credit_card,40000,0,0,带着全家去米国旅游，走66号公路，玩黄石公园,step,>,48,,,,
85,出国旅游,travel,luxury,12,credit_card,50000,0,0,带着全家去欧洲旅游，阿姆斯特丹，我来了，结果老婆不让逛。,step,>,48,,,,
86,出国旅游,travel,luxury,12,credit_card,20000,0,0,带着全家去T国旅游，清迈，小资的天堂,step,>,48,,,,
87,国内旅游,travel,luxury,6,credit_card,35000,0,0,带着全家出国旅游，但是当地宰客，支出大于预期。,step,>,48,,,,
88,国内旅游,travel,luxury,6,credit_card,15000,0,0,带着全家出国旅游，西川朴实，花费不多。大熊猫好可爱，川妹子巴斯得狠。,step,>,48,,,,
